time,open,high,low,close,Upper Band,Lower Band,SMA,Volume,RSI,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2024-10-20T22:19:00-04:00,134.1,134.1,134.1,134.1,134.1141421359596,134.08585786404043,134.10000000000002,5,50.7715433985019,50.7715433985019,52.95668402558544,NaN,NaN,NaN,NaN
2024-10-20T22:20:00-04:00,134.1,134.1,134.1,134.1,134.11287908906533,134.08612091093468,134.0995,14,50.7715433985019,50.7715433985019,53.264715334850386,NaN,NaN,NaN,NaN
2024-10-20T22:21:00-04:00,134.1,134.1,134.1,134.1,134.11287908797772,134.08612091202235,134.09950000000003,15,50.7715433985019,50.7715433985019,53.57274664411533,NaN,NaN,NaN,NaN
2024-10-20T22:22:00-04:00,134.09,134.1,134.09,134.1,134.11287908797772,134.08612091202235,134.09950000000003,8,50.7715433985019,50.7715433985019,53.880777953380274,NaN,NaN,NaN,NaN
2024-10-20T22:23:00-04:00,134.1,134.1,134.1,134.1,134.11287908852154,134.08612091147853,134.09950000000003,9,50.7715433985019,50.7715433985019,53.57233143576046,NaN,NaN,NaN,NaN
2024-10-20T22:24:00-04:00,134.1,134.1,134.09,134.1,134.11264910990573,134.08735089009437,134.10000000000005,5,50.771543398501905,50.771543398501905,53.845945695523824,NaN,NaN,NaN,NaN
2024-10-20T22:25:00-04:00,134.1,134.1,134.1,134.1,134.11264910990573,134.08735089009437,134.10000000000005,1,50.771543398501905,50.771543398501905,53.598789476386614,NaN,NaN,NaN,NaN
2024-10-20T22:26:00-04:00,134.1,134.1,134.1,134.1,134.11228982595824,134.08871017404184,134.10050000000004,3,50.7715433985019,50.7715433985019,53.35163325724941,NaN,NaN,NaN,NaN
2024-10-20T22:27:00-04:00,134.1,134.1,134.08,134.08,134.11414213544515,134.08585786455495,134.10000000000005,246,33.68986555537428,33.68986555537428,51.43498964274535,NaN,NaN,NaN,NaN
2024-10-20T22:28:00-04:00,134.08,134.09,134.08,134.09,134.11414213544515,134.08585786455495,134.10000000000005,10,43.860209425606136,43.860209425606136,50.24479916182929,NaN,NaN,NaN,NaN
2024-10-20T22:29:00-04:00,134.08,134.08,134.08,134.08,134.11561324747225,134.08238675252784,134.09900000000005,9,37.642641928614914,37.642641928614914,49.20490722434807,NaN,NaN,NaN,NaN
2024-10-20T22:30:00-04:00,134.08,134.09,134.08,134.09,134.11561324747225,134.08238675252784,134.09900000000005,4,45.9014952423693,45.9014952423693,48.31458211149012,NaN,NaN,NaN,NaN
2024-10-20T22:32:00-04:00,134.08,134.08,134.08,134.08,134.11654723659984,134.07945276340024,134.09800000000004,38,40.1717249706519,40.1717249706519,47.01498769350949,NaN,NaN,NaN,NaN
2024-10-20T22:34:00-04:00,134.07,134.08,134.07,134.08,134.11709975066265,134.07690024933748,134.09700000000007,3,40.1717249706519,40.1717249706519,46.25785780580592,NaN,NaN,NaN,NaN
